customer,email,pass,category,amount,month,date,year
philo,philo@gmail.com,philo@123,Goods,173.81,11,8,2023
philo,philo@gmail.com,philo@123,Goods,782.02,11,6,2023
philo,philo@gmail.com,philo@123,Goods,958.84,12,14,2023
philo,philo@gmail.com,philo@123,Travel,993.09,11,22,2023
philo,philo@gmail.com,philo@123,Goods,973.37,5,23,2023
philo,philo@gmail.com,philo@123,Service,943.9,6,16,2023
philo,philo@gmail.com,philo@123,Travel,731.99,7,21,2023
philo,philo@gmail.com,philo@123,Healthcare,982.62,4,19,2023
philo,philo@gmail.com,philo@123,Service,197.16,5,13,2023
philo,philo@gmail.com,philo@123,Goods,24.87,7,5,2023
philo,philo@gmail.com,philo@123,Food,785.33,7,24,2023
philo,philo@gmail.com,philo@123,Travel,50.87,10,10,2023
philo,philo@gmail.com,philo@123,Lifestyle,607.89,2,21,2023
philo,philo@gmail.com,philo@123,Service,217.1,1,16,2023
philo,philo@gmail.com,philo@123,Travel,823.51,6,9,2023
philo,philo@gmail.com,philo@123,Loan,450.11,9,11,2023
philo,philo@gmail.com,philo@123,Loan,485.39,8,14,2023
philo,philo@gmail.com,philo@123,Loan,236.64,11,2,2023
philo,philo@gmail.com,philo@123,Service,902.16,3,19,2023
philo,philo@gmail.com,philo@123,Healthcare,441.8,7,19,2023
philo,philo@gmail.com,philo@123,Goods,836.49,4,6,2023
philo,philo@gmail.com,philo@123,Service,299.22,6,9,2023
philo,philo@gmail.com,philo@123,Food,50.07,10,22,2023
philo,philo@gmail.com,philo@123,Travel,117.42,3,28,2023
philo,philo@gmail.com,philo@123,Food,907.74,3,24,2023
philo,philo@gmail.com,philo@123,Healthcare,62.39,9,24,2023
philo,philo@gmail.com,philo@123,Lifestyle,727.65,9,22,2023
philo,philo@gmail.com,philo@123,Goods,541.65,4,10,2023
philo,philo@gmail.com,philo@123,Service,308.0,8,26,2023
philo,philo@gmail.com,philo@123,Travel,901.45,5,25,2023
philo,philo@gmail.com,philo@123,Food,896.45,1,17,2023
philo,philo@gmail.com,philo@123,Loan,401.2,11,20,2023
philo,philo@gmail.com,philo@123,Food,372.13,4,22,2023
philo,philo@gmail.com,philo@123,Service,208.66,5,4,2023
philo,philo@gmail.com,philo@123,Travel,464.77,9,10,2023
philo,philo@gmail.com,philo@123,Loan,129.52,10,3,2023
philo,philo@gmail.com,philo@123,Loan,497.64,9,14,2023
philo,philo@gmail.com,philo@123,Travel,82.51,1,9,2023
philo,philo@gmail.com,philo@123,Lifestyle,651.69,2,16,2023
philo,philo@gmail.com,philo@123,Lifestyle,170.39,6,23,2023
philo,philo@gmail.com,philo@123,Healthcare,256.07,1,8,2023
philo,philo@gmail.com,philo@123,Goods,223.85,2,6,2023
philo,philo@gmail.com,philo@123,Service,959.25,6,8,2023
philo,philo@gmail.com,philo@123,Loan,808.55,2,24,2023
philo,philo@gmail.com,philo@123,Healthcare,169.12,8,6,2023
philo,philo@gmail.com,philo@123,Food,923.06,2,17,2023
philo,philo@gmail.com,philo@123,Lifestyle,466.02,11,19,2023
philo,philo@gmail.com,philo@123,Goods,574.34,7,17,2023
philo,philo@gmail.com,philo@123,Service,651.43,2,7,2023
philo,philo@gmail.com,philo@123,Food,820.12,9,15,2023
philo,philo@gmail.com,philo@123,Service,220.94,8,17,2023
philo,philo@gmail.com,philo@123,Travel,658.09,6,21,2023
philo,philo@gmail.com,philo@123,Service,304.91,3,12,2023
philo,philo@gmail.com,philo@123,Loan,115.4,3,2,2023
philo,philo@gmail.com,philo@123,Food,613.18,3,19,2023
philo,philo@gmail.com,philo@123,Food,467.69,12,9,2023
philo,philo@gmail.com,philo@123,Goods,486.29,10,27,2023
philo,philo@gmail.com,philo@123,Loan,63.23,8,18,2023
